|stems|tags|text
0|kansass alcohol law among strictest unit state kansa prohibit alcohol continu prohibit premis sale alcohol sunday sale allow sinc today counti still permit premis sale alcohol counti requir busi receiv least revenu food sale allow premis sale alcohol counti allow gener premis sale commun allow premis sale allow sale sunday sale prohibit christma easter|Alcohol|Kansas's alcohol laws are among the strictest in the United States. Kansas prohibited all alcohol from 1881 to 1948, and continued to prohibit on-premises sales of alcohol from 1949 to 1987. Sunday sales only have been allowed since 2005. Today, 29 counties still do not permit the on-premises sale of alcohol. 59 counties require a business to receive at least 30% of revenue from food sales to allow on-premises sale of alcohol. Only 17 counties allow general on-premises sales. Not all communities which allow off-premises sales allow sales on Sunday. Sales are prohibited on Christmas and Easter.
1|beer contain alcohol volum may sold groceri conveni store prior april alcohol beverag groceri store ga station allow sell beer alcohol weight liquor sale allow state licens retail liquor store kansa comprehens open contain law public place vehicl public intox law requir prospect premis premis license|Alcohol|Beer containing no more than 6.0% alcohol by volume may be sold in grocery and convenience stores. Prior to April 1, 2019, the only alcoholic beverage which grocery stores and gas stations were allowed to sell was beer with no more than 3.2% alcohol by weight. Other liquor sales only are allowed at state-licensed retail liquor stores. Kansas has comprehensive open container laws for public places and vehicles, public intoxication laws, and requirements for prospective on-premises or off-premises licensees.
2|regul sale alcohol beverag turn state local author differ state differ statut limit regard sell alcohol purchas alcohol feder govern formal defin alcohol beverag beverag contain percent alcohol state honor limit howev may variabl within certain state local|Alcohol|The regulation of the sale of alcoholic beverages has been turned over to state and local authorities. Different states will have different statutes of limitations regarding who can sell alcohol and who can purchase alcohol. The federal government formally defines an alcoholic beverage as any beverage containing over 0.05 percent alcohol, and most states honor this limit; however, there may be some variability within certain states and localities.
3|state local jurisdict adopt law regard minimum bac level establish limit legal intox drive public intox individu bac level limit individu commit violat regardless evid person sober intox|Alcohol|All states and local jurisdictions have adopted laws regarding minimum BAC level to establish limits of legal intoxication for driving and public intoxication. If an individual has a BAC level above this limit, the individual has committed a violation regardless of any other evidence that the person is sober or intoxicated.
4|adult persuad help minor commit act juvenil delinqu may charg crime contribut delinqu minor cdm minor anyon age major state sinc possess alcohol act juvenil delinqu exampl provid alcohol minor would act cdm case colorado first establish crime state law even though carv except|Alcohol|Adults who persuade or help minors commit acts of juvenile delinquency may be charged with the crime of contributing to the delinquency of a minor (or CDM). A minor is anyone under the age of majority, 18 in most states. Since possession of alcohol is an act of juvenile delinquency, for example, providing alcohol to minors would be an act of CDM in most cases. Colorado was the first to establish the crime in 1903 and all states now have such laws, even though most have carved out some exceptions.
5|perhap surest way lose liquor licens establish sell alcohol individu age legal age drink alcohol state establish check identif individu appear younger risk lose liquor licens addit actual sell alcohol individu age sure way busi lose liquor licens state may even encourag server bartend ask individu question suspect person identif may falsifi id belong anoth person risk establish serv minor busi serv minor go injur someon caus properti damag result death intox assuredli lose liquor licens|Alcohol|Perhaps the surest way to lose a liquor license is for the establishment to sell alcohol to individuals under the age of 21. The legal age to drink alcohol is 21 in all states. Establishments that do not check the identification of individuals who appear to 30 or younger are at risk for losing their liquor license. In addition, actually selling alcohol to an individual under the age of 21 is a sure way for a business to lose its liquor license. Some states may even encourage servers or bartenders to ask the individual questions if it is suspected that the person’s identification may be falsified or that the ID belongs to another person. The risk is all on the establishment that serves the minor. Businesses that serve minors who go on to injure someone, cause property damage, or result in a death while they are intoxicated will most assuredly lose their liquor license.
6|open contain law state prohibit driver passeng drink alcohol possess open contain alcohol vehicl gener person violat law whether vehicl motion park|Alcohol|The open container laws of most states prohibit drivers and passengers from drinking alcohol or possessing an open container of alcohol in a vehicle. Generally, a person can be in violation of the law whether the vehicle is in motion or parked.
7|patron remov partial consum contain bottl restaur open contain consumpt alcohol public|Alcohol|patrons removing partially consumed containers or bottles from restaurants and open containers or consumption of alcohol in public
8|upon complianc applic provis chapter regul made thereund conflict provis section alabama alcohol beverag control board may issu entertain district design retail licens author chapter allow license sell alcohol beverag consumpt|Alcohol|Upon compliance of the applicant with the provisions of this chapter, and the regulations made thereunder which are not in conflict with the provisions of this section, the Alabama Alcoholic Beverage Control Board may issue an entertainment district designation for any retail license authorized in this chapter which allows the licensee to sell alcoholic beverages for consumption
9|minor possess alcohol law crimin possess consumpt alcohol individu legal drink age purpos law strictli punish underag drinker deter illeg alcohol consumpt|Alcohol|Minor in possession of alcohol laws criminalize the possession and consumption of alcohol by individuals who are under the legal drinking age. The purpose of these laws is to strictly punish underage drinkers and deter illegal alcohol consumption.
