|arrests|tags
0|POSSESSION OF NARCOTICS|Narcotics
1|POSSESSION OF PARAPHERNALIA|Misc Drugs
2|BATTERY BODILY HARM DOMESTIC|Battery
3|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
4|RUN STOP SIGN|Traffic Violation
5|SPEED 30 MPH|Speed Limit
6|FAILURE TO SIGNAL TURN|Traffic Violation
7|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
8|NO SEAT BELT|Traffic Violation
9|TAG REQUIRED|Traffic Violation
10|STOLEN PROPERTY BUYING|Theft
11|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
12|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
13|ILLEGAL TAG|Traffic Violation
14|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
15|CRIMINAL TRESPASS|Trespass
16|DUI INCAPABLE OF SAFELY OPERATING|DUI
17|DUI|DUI
18|ILLEGAL TAG|Traffic Violation
19|UNSAFE BACKING|Traffic Violation
20|AGGRAVATED WEAPONS VIOLATION|Weapons
21|POSSESSION OF PARAPHERNALIA|Misc Drugs
22|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
23|RUNAWAY|Runaway
24|MAKING FALSE WRITING|Forgery
25|LARCENY A FROM BUILDING $1500+|Larceny
26|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
27|DOMESTIC BATTERY BODILY HARM|Battery
28|UNLAWFUL POSSESSION OF METH|Meth
29|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
30|STOLEN PROPERTY BUYING|Theft
31|UNLAWFUL POSSESSION OF METH|Meth
32|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
33|VEHICLE: FAILURE TO WALK ON LEFT SIDE ROADWAY NO SIDEWALK|Traffic Violation
34|PETIT THEFT|Theft
35|AGGRAVATED INDECENT LIBERTIES WITH CHILD|Child Exploitation
36|COMMERCIAL SEXUAL EXPLOITATION OF A CHILD|Child Exploitation
37|PETIT THEFT|Theft
38|INTIMIDATION|Intimidation
39|BATTERY DOMESTIC VIOLENCE|Battery
40|SPEED OVER LIMIT|Speed Limit
41|NO DRIVER'S LICENSE|License
42|OBSTRUCT LEGAL PROCESS|Obstruction
43|PETIT THEFT|Theft
44|SOUND AMPLIFICATION SYSTEM|Disturbance
45|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol
46|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
47|POSSESSION OF NARCOTICS|Narcotics
48|RUNAWAY|Runaway
49|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
50|LIABILITY INSURANCE REQUIRED|Insurance
51|ILLEGAL TAG|Traffic Violation
52|DISOBEYING POLICE|Interference
53|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
54|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
55|REMAINING IN PARK AFTER HOURS|Trespass
56|BATTERY|Battery
57|OTHER DESTRUCTION TO PROPERTY|Property Damage
58|POSSESSION OF MARIJUANA|Marijuana
59|CONSUMPTION/POSSESSION OF LIQUOR OR CEREAL MALT BEVERAGE BY MINOR|Alcohol
60|BURGLARY NON RESIDENCE|Burglary
61|OTHER DESTRUCTION TO PROPERTY|Property Damage
62|BURGLARY NON RESIDENCE|Burglary
63|OTHER DESTRUCTION TO PROPERTY|Property Damage
64|BATTERY BODILY HARM DOMESTIC|Battery
65|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
66|BATTERY BODILY HARM DOMESTIC|Battery
67|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
68|OTHER WEAPONS VIOLATIONS|Weapons
69|STALKING|Stalking
70|DUI|DUI
71|DUI INCAPABLE OF SAFELY OPERATING|DUI
72|NO DRIVER'S LICENSE|License
73|KNOWINGLY RECEIVE STOLEN PROPERTY|Theft
74|STOLEN PROPERTY BUYING|Theft
75|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
76|ILLEGAL TAG|Traffic Violation
77|PETIT THEFT|Theft
78|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
79|BATTERY|Battery
80|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
81|SIMPLE ASSAULT|Assault
82|OTHER DESTRUCTION TO PROPERTY|Property Damage
83|UNLAWFUL POSSESSION OF METH|Meth
84|CRIMINAL DAMAGE TO PROPERTY|Property Damage
85|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
86|DOMESTIC BATTERY BODILY HARM|Battery
87|FORCIBLE RAPE/DOMESTIC VIOLENCE|Rape
88|BATTERY DOMESTIC VIOLENCE|Battery
89|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
90|VIOLATION OF PROTECTIVE ORDER|Court Order
91|EVADE/ELUDE POLICE|Elusion
92|SEAT BELT REQUIRED 18 OR OLDER|Traffic Violation
93|RUN STOP SIGN|Traffic Violation
94|NO DRIVER'S LICENSE|License
95|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
96|DRIVE RIGHT SIDE/4 LANES|Traffic Violation
97|RECKLESS DRIVING|Traffic Violation
98|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
99|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
100|LARCENY B SHOPLIFT|Larceny
