|arrests|tags|stems
0|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
1|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
2|BATTERY BODILY HARM|Battery|batteri bodili harm
3|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
4|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
5|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
6|SPEED 30 MPH|Speed Limit|speed mph
7|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
8|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
9|NO SEAT BELT|Vehicle / Traffic Violation|seat belt
10|TAG REQUIRED|Vehicle / Traffic Violation|tag requir
11|STOLEN PROPERTY BUYING|Theft|stolen properti buy
12|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
13|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
14|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
15|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance|knowingli drive uninsur vehicl
16|CRIMINAL TRESPASS|Trespass|crimin trespass
17|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
18|DUI|DUI|dui
19|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
20|UNSAFE BACKING|Vehicle / Traffic Violation|unsaf back
21|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
22|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
23|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
24|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
25|RUNAWAY|Runaway|runaway
26|MAKING FALSE WRITING|Fraud|make fals write
27|LARCENY A FROM BUILDING $1500+|Larceny|larceni build
28|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
29|BATTERY BODILY HARM|Battery|batteri bodili harm
30|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
31|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
32|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
33|STOLEN PROPERTY BUYING|Theft|stolen properti buy
34|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
35|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
36|VEHICLE: FAILURE TO WALK ON LEFT SIDE ROADWAY NO SIDEWALK|Vehicle / Traffic Violation|vehicl failur walk left side roadway sidewalk
37|PETIT THEFT|Theft|petit theft
38|AGGRAVATED INDECENT LIBERTIES WITH CHILD|Child Exploitation|aggrav indec liberti child
39|COMMERCIAL SEXUAL EXPLOITATION OF A CHILD|Child Exploitation|commerci sexual exploit child
40|PETIT THEFT|Theft|petit theft
41|INTIMIDATION|Intimidation|intimid
42|BATTERY|Battery|batteri
43|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
44|SPEED OVER LIMIT|Speed Limit|speed limit
45|NO DRIVER'S LICENSE|License|driver licens
46|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
47|PETIT THEFT|Theft|petit theft
48|SOUND AMPLIFICATION SYSTEM|Disturbance|sound amplif system
49|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
50|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
51|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
52|RUNAWAY|Runaway|runaway
53|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
54|LIABILITY INSURANCE REQUIRED|Insurance|liabil insur requir
55|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
56|DISOBEYING POLICE|Vehicle / Traffic Violation|disobey polic
57|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
58|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
59|REMAINING IN PARK AFTER HOURS|Trespass|remain park hour
60|BATTERY|Battery|batteri
61|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
62|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
63|CONSUMPTION/POSSESSION OF LIQUOR OR CEREAL MALT BEVERAGE BY MINOR|Alcohol|consumpt possess liquor cereal malt beverag minor
64|BURGLARY NON RESIDENCE|Burglary|burglari non resid
65|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
66|BURGLARY NON RESIDENCE|Burglary|burglari non resid
67|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
68|BATTERY BODILY HARM|Battery|batteri bodili harm
69|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
70|AGGRAVATED BATTERY,|Battery|aggrav batteri
71|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
72|BATTERY BODILY HARM|Battery|batteri bodili harm
73|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
74|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
75|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
76|OTHER WEAPONS VIOLATIONS|Weapons|weapon violat
77|STALKING|Stalking|stalk
78|DUI|DUI|dui
79|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
80|NO DRIVER'S LICENSE|License|driver licens
81|KNOWINGLY RECEIVE STOLEN PROPERTY|Theft|knowingli receiv stolen properti
82|STOLEN PROPERTY BUYING|Theft|stolen properti buy
83|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
84|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
85|PETIT THEFT|Theft|petit theft
86|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
87|BATTERY|Battery|batteri
88|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
89|SIMPLE ASSAULT|Assault|simpl assault
90|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
91|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
92|CRIMINAL DAMAGE TO PROPERTY|Property Damage|crimin damag properti
93|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
94|BATTERY BODILY HARM|Battery|batteri bodili harm
95|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
96|FORCIBLE RAPE|Rape|forcibl rape
97|BATTERY|Battery|batteri
98|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
99|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
100|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
101|EVADE/ELUDE POLICE|Elusion|evad elud polic
102|SEAT BELT REQUIRED 18 OR OLDER|Vehicle / Traffic Violation|seat belt requir older
103|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
104|NO DRIVER'S LICENSE|License|driver licens
105|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
106|DRIVE RIGHT SIDE/4 LANES|Vehicle / Traffic Violation|drive right side lane
107|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
108|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
109|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
110|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
111|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
112|CRIMINAL TRESPASS|Trespass|crimin trespass
113|CRIMINAL TRESPASS|Trespass|crimin trespass
114|UNLAWFUL SALE OF MARIJUANA|Marijuana|unlaw sale marijuana
115|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
116|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
117|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
118|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
119|PEDESTRIAN USE SIDEWALK|Vehicle / Traffic Violation|pedestrian use sidewalk
120|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
121|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
122|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
123|RESTRICT ON LICENSE: SUSPENDED/REVOKE|License|restrict licens suspend revok
124|FAILURE TO DRIVE RIGHT SIDE OF ROAD 4 LANES|Vehicle / Traffic Violation|failur drive right side road lane
125|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
126|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
127|LIGHTS REQUIRED CERTAIN HOURS|Vehicle / Traffic Violation|light requir certain hour
128|DISOBEY NO TURN SIGN|Vehicle / Traffic Violation|disobey turn sign
129|DUI|DUI|dui
130|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
131|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
132|NO PROOF OF INSURANCE|Insurance|proof insur
133|RIDE WHERE NOT INTENDED|Vehicle / Traffic Violation|ride intend
134|SEAT BELT REQUIRED 18 OR OLDER|Vehicle / Traffic Violation|seat belt requir older
135|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
136|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
137|TRAFFIC OF CONTRABAND IN A CORRECTIONAL INSTITUTION|Vehicle / Traffic Violation|traffic contraband correct institut
138|BATTERY BODILY HARM|Battery|batteri bodili harm
139|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
140|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
141|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
142|DRIVE WHILE SUSPENDED|License|drive suspend
143|SIGNAL TURN 100 FEET|Vehicle / Traffic Violation|signal turn feet
144|FAILURE TO FILE LICENSE APPLICATION FOR AFTER HOURS ESTABLISHMENT|License|failur file licens applic hour establish
145|BATTERY BODILY HARM|Battery|batteri bodili harm
146|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
147|BATTERY BODILY HARM|Battery|batteri bodili harm
148|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
149|UNLAWFUL RESTRAINT|Obstruction|unlaw restraint
150|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
151|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
152|DUI|DUI|dui
153|IMPROPER RIGHT TURN|Vehicle / Traffic Violation|improp right turn
154|DUI SECOND|DUI|dui second
155|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
156|URINATE PUBLIC/PRIVATE PROPERTY|Public Indecency|urin public privat properti
157|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
158|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
159|NO DRIVER'S LICENSE|License|driver licens
160|MINIMUM SPEED SLOWING SURROUNDING TRAFFIC|Speed Limit|minimum speed slow surround traffic
161|UNSAFE BACKING|Vehicle / Traffic Violation|unsaf back
162|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
163|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
164|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
165|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
166|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
167|CRIMINAL TRESPASS|Trespass|crimin trespass
168|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
169|STOLEN PROPERTY BUYING|Theft|stolen properti buy
170|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
171|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
172|CRIMINAL TRESPASS|Trespass|crimin trespass
173|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
174|OTHER NARCOTIC VIOLATIONS|Narcotics / Other Drugs|narcot violat
